title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
"""flight itself was quite good""",9,Jonathan Rodden,2024-06-10,"flew british airways on ba 434 london heathrow to amsterdam. i was able to check in at the ba first class check in area in terminal 5 and this is very fast and efficient. the lounge was quite busy; however, i was able to find space. the food, snacks, and drinks available was excellent as was the overall service. i also like the ba first class check in area as the security clearance is fast. boarding was a little chaotic, however we boarded on time and the take off runway was close to the departing gate, therefore no delays. the flight itself was quite good as was the cabin crew and the meal service.",Solo Leisure,Economy Class,London Heathrow to Singapore,2024-05-01,no,A380
“premium price for a sub-par product”,3,L Tomlinson,2024-05-26,"a premium price for a sub-par product - flew ba (031/032) lhr and hkg and return in may. we had originally booked when the aircraft was allocated the club suites - paid for seat selection. a couple of months prior to the trip, the aircraft was changed to the 2/3/2 layout with the yin/yang seat configuration. we had been allocated 2 of the 3 middle seats, so paid again to select the window and aisle. the hard product is poor - the seat space lacks any form of storage that remains accessible when the seat is in the flat position - nowhere to put specs, a book or phone. additionally, the window seat passenger has to climb over the feet of another passenger to use the toilet etc - really poor layout. the planes on both legs of the journey were tired and shabby. the crew on the outward journey were enthusiastic and helpful - the return crew seemed less adept at managing the service. the outbound catering was acceptable - but the presentation on tiny plates does not compare favourably with competitors. the catering inbound was very poor. the welcome ‘champagne’ was truly awful. this is a poor product at a premium price - and sad to say, this pair of self-funding passengers won’t choose to repeat the experience. the lounge at heathrow on the outbound sector was packed to the rafters and was a poor experience. very disappointing.",Solo Leisure,Economy Class,London to Valencia,2024-04-01,no,A319 / A320
"""undiscerning and insincere compensation""",1,Ezra Tan,2024-04-27,"paid for a 14 hour long flight ticket which includes use of the in-flight entertainment system. ended up in a seat where the in-flight entertainment system was malfunctioning and could not be used at all. flight attendants sought to perform a ""service recovery"" through their customer relations team. contacted by the said team slightly more than a week later with an offer of an evoucher that can only be used in purchasing additional flight tickets with ba. explained to them that i had no intentions of travelling again within the next two years so i had no use of an evoucher and sought for an alternative form of compensation instead, something that could really be useful instead. customer relations simply brushed my request off as them unable to offer any alternate ""gesture of goodwill"".  compensation in british airways is a matter of ""goodwill"". pay for a ticket but don't get what you paid for in full. compensation is one that requires you to spend even more money on the airline (so that they can disappoint you further). an ultimately self-serving, inconsiderate, undiscerning and insincere compensation. which in itself isn't even anything they feel guilty or remorseful about, because any compensation is a ""gesture of goodwill"", something you don't deserve in their view.",Couple Leisure,Business Class,Doha to London Heathrow,2024-03-01,no,Boeing 777-200
"""service was slow and unfriendly""",4,David Williams,2024-04-02,"flew business class from doha to london on 31st march. the service was slow and unfriendly, even one of the male cabin crew working in business class asked the female cabin crew who was looking after the area where i was in to smile. i ordered waffles for breakfast and they looked like they’d fallen off the plate and had been thrown back on (see photo). the plate that the waffles were served on was so hot that when i moved the plate i burnt my finger. i wasn’t warned that it was ferociously hot. i was shocked at how bad the food presentation was, but didn’t feel comfortable saying anything to the cabin crew as she wasn’t approachable or friendly. for lunch, the bread roll was so dry and rock hard that i couldn’t cut through the ends. not sure why the food and service was so bad on this flight as generally ba food is good and is well presented. also, the wi-fi wasn’t working on the flight.",Family Leisure,Economy Class,Montreal to Venice via London Heathrow,2024-03-01,yes,Boeing 787-8 /777-200 / A320-200
"""Utterly outrageous""",3,Solomon Pachtinger,2024-03-19,"waited an hour to check-in at the paphos business check-in. staff utterly incompetent. flight crew in business class removed my ruck sack from the flight bins without my consent to make way for another customer luggage. i was then coerced to have my luggage at my feet throughout my flight. utterly outrageous, last thing you would expect in ba business class.",Solo Leisure,Economy Class,Singapore to Auckland via Sydney,2024-03-01,no,Boeing 777-300
"""it was extremely underwhelming""",3,E Gayerlo,2024-03-04,"on the my trip to mexico city, i had the opportunity to experience ba long-haul business class for the first time and it was extremely underwhelming. first of all, boarding to our flight to mexico city was done with buses. every inch of the bus was filled with passengers and we couldn't even breath. the club world experience is not personalised and it doesn't make you feel special. the flight crew were giving the welcome drinks as if giving free food at a food bank and i wasn't offered a non-alcoholic choice due to sitting on the last row of business class cabin. the same rude serving attitude happened when the flight attendant was serving ice-cream mid-flight on the way out. he literally threw the ice cream to my head as i was in the middle seat that is covered from all sides that makes flight attendants hard to reach.  the most striking issue with the cabin is the state that the seats are in. they were their old style yin-yang seats and they looked pretty old, with no storage space, and most functionalities are working with a struggle. my entertainment screen was not working well and it was quite unstable. when the flight attendants were playing the security on my way out, neither of the seats in my area playing the safety video and the flight attendants had to re-demonstrate the security instructions manually. on the way in, the crew opened my screen for security demonstration but it kept closing in. when i asked if there is a way to keep the screen open, the flight attendant joked saying ""i will tell the pilot to fly with an angle so that the screen is pulled down and it will stay open"".  i found this attitude unacceptable. the screens were old and bad quality.  i was quite underwhelmed by the food provided on board. they looked great on menu card but were quite bad when they are served.i would not recommend ba business class product based on this experience.",Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",2024-01-01,no,Boeing 777
"""all needs a serious rework""",5,S Jackson,2024-02-11,"i am a british airways gold guest list member (with lifetime privileges). in spite of that i have given up britsh wherever possible. i take ten or more trans ocean trips a year. i am fortunate to be able to fly first class - unfortunately british no longer has a first class product - the sell one by that name at first class prices but in fairness deliver what you would consider a very good business class experience. i should point out that there are airlines who sell business class that in fact are better than any british first class experience (qatar, emirates). i have flown many millions of miles on british. last week i completed an around the world trip on emirates and qantas all a380. in the millions of ba miles i never had an experience as good as what i experience on ek and qantas. a very long time ago the food and beverage service on ba was truly extraordinary - today it would be a bit of a stretch to even call it ordinary - so sad a decline. seat comfort (in first), lounges food, beverage all need serious rework. if you are a first class traveler british is just not an option. sad, truly sad.",Solo Leisure,Economy Class,Boston to Düsseldorf via London,2024-01-01,no,Boeing 777-200
"""unprofessional attitude of the pilots""",6,D Carreno,2024-01-21,"ba 246 21jan 2023 did not appreciate the unprofessional attitude of the pilots. flight scheduled departure 16:20. advised boarding time 15:20. whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a sao paulo airport duty free branded shopping bag. 16:20 the flight is still boarding. finally pushes back just before 17:00, 40 minutes late. captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. sorry captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for.",Couple Leisure,Business Class,London to New York,2023-11-01,yes,Boeing 777 -200
"""Gate agent was extremely rude""",6,K Higgins,2024-01-03,"not verified |  extremely rude ground service. we were non-rev flying and london was our connection/layover. gate agent was extremely rude and forced me to check my carry on suitcase with the explanation that it was “oversized.” however, when i put it in the sizer, it fit perfectly without force. the plane was not fully booked and had lots of room overhead. the gate agent was insistent and rushed us with no regard for the fact that we would have to redo security in order to get our bags again, as we were switching airlines and needed to carry them on due to our non-rev status. the flight itself was good, attendants were polite and helpful. no complains there. just extremely unhappy with the gate agent service. i understand that it is not a pleasant job and frankly i would not be overjoyed to work there either but that does not explain why we had to be inconvenienced with no fair explanation or attention.",Solo Leisure,Economy Class,Indianapolis to Mumbai via London Heathrow,2023-12-01,no,A329
“The most ridiculous thing I've heard”,1,C Shaw,2023-12-20,"not verified |  beware! ba don't provide any refund due to a very serious medical reason. my father was diagnosed with a severe heart defect a couple of weeks before his flight date and ba refused to give any refund as this was not a good enough reason!! we sent them a medical note from his doctor saying he is unfit to travel due to potential heart failure and needs to have heart surgery as soon as possible, and the operator totally dismissed it. they said only thing they can do is change the travel date within a year. heart surgery recovery takes months and it's highly unlikely that he will be able to travel within the year, meaning he would lose his ticket and money! they said they can't do anything to help, not even change the name on the ticket so someone else can use the tickets! the most ridiculous thing i've heard!",Solo Leisure,Business Class,Gatwick to Las Palmas,2023-12-01,yes,A320
"""onboard service was efficient""",10,S Deyle,2023-12-09,the flight took off a little late due to heathrow congestion but still landed on schedule. boarding was smooth and the onboard service was efficient. a small snack was served for free with a bottle of water; additional items were available for purchase. the cabin and toilets were very clean. overall an unremarkable flight but in a good way!,Business,Economy Class,Brussels to London,2023-11-01,no,A320
"""Flight was smooth and quick""",8,M A Collie,2023-11-16,"not verified |  boarded on time, but it took ages to get to the runway due to congestion. flight was smooth and quick. snack and drinks were good for a short flight. landed only about ten minutes late. one bag of three left in london, forms quickly filled in, and the bag was delivered the next morning.",Couple Leisure,Economy Class,Anchorage to Heathrow via Barcelona,2023-10-01,no,A320
"""reflect a downward trend of the airline""",6,C Barton,2023-10-28,"london heathrow to gibraltar on 24th october 2023. i shall start by reference to the booking process. i used the ba website to reserve the seat and food the website to be easy to use and clear in every aspect. the flight was due to depart from terminal 3 but the passengers were bussed for a good 15 minutes to a different part of the airport where the aircraft was on a stand. when boarding the flight the cabin-crew kept a very low profile and this was maintained during the entire flight. the captain made 3 brief announcements during the flight. there was no in-flight entertainment. the seats were clean and comfortable enough for a short flight. the lack of catering was overt. other than a tiny bottle of water and an inedible “breakfast bar” one had to use an online system to order even a drink and of course pay for it too. the passengers next to me could not use the online system as it doe not seem to work and the cabin refused to sell them a coffee because of this fault. moreover, the usb charge points did not work either. given the early hour of the flight it is a poor show that there are not even for sale items available from a trolley service. the system ba have in place is not good enough. the flight arrived on-time. the disembarkation was inefficient though and poorly managed and the crew were not to be seen. the crew were wearing the new ba uniform and it seems to reflect a downward trend of the airline. to be candid, there was any difference between this ba service and that of so-called “budget” rivals. on this route ba have a monopoly and so i did not have an option to use the services of a different company.",Solo Leisure,Economy Class,Geneva to London Heathrow,2023-10-01,no,A320
“I hate British Airways!”,1,S Carter,2023-10-17,"i hate british airways! we get to london on oct 3 and our next flight is cancelled. we stand in line with 1200 other people to get it fixed and they tell everyone to leave the airport and call them to fix. they book us the next day..via online. don't offer vouchers for hotel, we will miss our tour. now trying to get home from istanbul. plane is here but should have started loading an hour ago. no explanations. may miss next flight. will never travel with them again. was this same problem april 2022 flight.",Couple Leisure,Economy Class,Atlanta to Glasgow via London,2023-09-01,no,A321
"""The worst airline I have ever flown""",1,T Hanson,2023-10-07,"the worst airline i have ever flown with. allocated the very back row next to the toilets and galley. no chance of getting any sleep, question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology. would have been better sitting in the luggage compartment.",Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,2023-09-01,no,777-300 and A320
"""the service was shockingly bad""",1,E Anderson,2023-09-28,"one of the worst experiences on the worst airline. the flight was delayed due to earlier technical issues. the time slipped from 17:00 to 20:00 to 22:00 and finally cancelled. there was zero information given. despite paying well over the odds for business class, we were booted out of the ba lounge two hours before the flight. when it was finally cancelled, the ba staff. without explanation, told everyone to go to a gate. after another hour or so they made us re enter the uk via passport control, a further 40 minute wait. by now the airport was closing and there was no sign of our bags or any help from ba. a passing gatwick engineer finally helped us locate the bags. ba completely washed their hands of us and in contravention of caa rules refused to find us accommodation. many slept in a bus stop overnight. there were people with young children who couldn’t find somewhere to stay and yet ba had closed down and left. the following day the replacement flight was also late and due to an admin mistake had no catering or liquids for a 2 1/2 hr flight. overall the service was shockingly bad, the worst i have experienced from any airline. i will not ever use them again.",Couple Leisure,Economy Class,London to Dalaman,2023-09-01,no,A320
"""Worst BA experience""",2,S Sharpe,2023-09-15,"worst ba experience. i was supposed to fly out to italy on 7 september 2023. i arrived at or tambo international airport ready to check my bags in (i already checked-in online the previous evening so i had my boarding pass ready). at the counter i was told that i had been off-loaded from the flight as my connecting flight has been cancelled. no information was sent regarding this beforehand. the team at the check-in counter tried to get me on another flight that evening, but there were no flights available. they did manage to get me another flight the following evening with lufthansa to italy via frankfurt. however, i did miss the first part of my trip having arrived a day and a half later than i was supposed to. upon moving the flights i did ask the ba staff whether my flights back are still valid and that everything is in order, which they assured me is correct. i have to fly back to south africa on 18 september and upon checking my booking information i noticed on my ba account that my first flight (milan to london) is just missing from my booking. my connecting from london to johannesburg is still there. after spending the entire morning on the customer helpline two different operators picked up and in both instances, the moment i proceed to give my booking reference number, my call gets dropped. currently it seems like i will be arriving at the airport again on monday without a flight.",Business,Premium Economy,Houston to London Heathrow,2023-09-01,no,Boeing 777-200
"""avoid BA like the plague""",1,R H,2023-09-02,flying a380 business class should be a pleasure but ba has made it a disaster with the worst seating and configuration imaginable. how could any sane person could jam so many seats into a limited space and expect passengers to be happy. seats are narrower than economy on some airlines and you must face another person until a plastic screen is raised. the tv screens are the size of a medium sized tablet and the controls are behind your head in a sitting position. there is no where to put anything except one small pull out draw at ground level that can not be reached when seated nor accessed when sleeping . the window seats and middle seats are accessed by having to jump over a passenger on an aisle seat and the seats are so low that they are hard for elderly to get out of. the whole business class set up is a sick joke. eating is difficult because the seat is not close enough to the table and the tables are so flimsy that drinks can fall off. are there any redeeming features - the answer is no. if you like a little comfort avoid ba like the plague.,Business,Business Class,London to Johannesburg,2023-08-01,no,A320
"""Nice flight, good crew, very good seat""",8,W Davies,2023-08-26,"nice flight, good crew, very good seat, food was what you would expect. the aircraft had the new style business class seats/suite the actual plane as not new in any since of the word. there were parts of the seat that were broken or missing however the seat still sat well and worked. seat was also long enough to really lay out and get some sleep. the video system worked great and had plenty of content. the headphones however were cheap and didn't feel or work particular good. the layout on this 773 had a lot of business class seats, a lot! we sat in the forward cabin (enter aircraft turn left) and that cabin is the quieter part of the aircraft. the crew was very nice and were there the entire time for any needs or wants we might have had. one draw back to the seats is as we were traveling as a couple the middle divider didn't open enough to really feel like you and your mate are traveling together. lhr is what it is, crowded and expansive but we had a good lounge visit and were completely on time for all flights.",Solo Leisure,Economy Class,London to Vienna,2023-08-01,no,Embraer-190
"""They lost my baggage""",1,G Maysev,2023-08-08,"they lost my baggage in a very simple situation. it's been three weeks and they don't care, no communication whatsoever. i was at the connection checkpoint at heathrow 3hrs before my connecting flight, the last leg of my trip. an agent insists on checking in my hand luggage since my plane is full. and then they lose it. i claim it at the arrival airport immediately. now it's been three weeks, no communication whatsoever, the online status is still “searching for your bag” with no updates. my conclusion is that the ba males no effort to find my missing bag and they don't care.",Family Leisure,Economy Class,Rhodes to Gatwick,2023-07-01,no,A321
"""All in all, terrible""",1,G Nelson,2023-07-25,"i chose british airways especially because i was going to travel with my niece and nephew, and wanted everything to work well. what a disaster! first, it took me two hours to do the check-in online due to a technical problem. i also had to spend more than 20 minutes in a call to a uk number from my spanish cell phone because that’s the only service they provide on weekends. then, at the airport, when there was the boarding time, we had to wait with the rest of the people for almost two hours standing on the line without knowing what was going on. they just told us to wait. finally we could access the plane. after 40 minutes inside, they told us to leave the plane again and told us the flight had been cancelled. we had to take our luggage and queue again for a couple of hours. then, do the check in again and wait for another flight to take off, which was again delayed! we spent almost 12 hours at the airport. no information was provided, no solutions were offered. we had to seat in the last raw (when i had paid to seat on the first half of the plane). no money was refunded no apologizes or compensation was given. i also had pre-purchased food and they couldn’t provide the service. all in all, terrible. never again!",Solo Leisure,Business Class,London to Miami,2023-06-01,no,A380
"""5 hours and 30 mins but no meal""",2,K Robson,2023-07-16,not verified | horrible airline. does not care about their customers. used to be decent but has now since really fell off. a flight time of 5 hours and 30 mins but no meal while the flight attendants were having their eggs and sausage in the back? didn't even offer juices. i would stick with another airline.,Solo Leisure,Economy Class,Berlin to London,2023-07-01,yes,A320
"""Luggage are still in Glasgow""",1,Kapil Tyagi,2023-06-30,came from glasgow to london and took connecting flight american airlines from london to north carolina. it's my third day here in north carolina and still waiting for my luggage. they didn't even bother to transfer the luggage to connecting flight. luggage are still in glasgow.,Family Leisure,Business Class,London City to Ibiza,2023-06-01,yes,Embraer 190
"""Communication is terrible""",1,M King,2023-06-23,"absolutely horrible airline. communication is terrible. last minute delays, cancellations, seat changes with no communication. app and website user experience is years behind other airlines. seats are cramped and uncomfortable. overpriced. would not fly again.",Business,Business Class,Tokyo to Manchester via Heathrow,2023-06-01,no,Boeing 737
"""never fly British Airway ever again""",1,George W Edmonds,2023-06-11,the customer service is ugly. tried calling two weeks ago but still had problems with flight. all i get is someone in india. i thought i was flying iberia once i looked close at ticket it was british airways. will never fly british airway ever again.,Couple Leisure,Economy Class,London to Santorini,2023-05-01,no,A350
"""haven’t received any reimbursement""",2,Tanya Tracy,2023-06-02,terrible delays. had to rebook our domestic travel for 5 passengers and haven’t received any reimbursement on the same. lost all my luggage; received luggage after 4 days. had to purchase new clothes for the family for a wedding. no customer service rep picks up the phone.,Business,Business Class,London Heathrow to Malaga,2023-05-01,no,A320 Finnair
"""do not think the fare was worth the money""",4,Steve Bennett,2023-05-22,"not verified | paid a quick visit to nice yesterday from heathrow. decided to go business class since my last short haul flight in economy was a real crush and rather unpleasant. i paid over £300 for a business class round trip. i went into the to ba lounge in terminal 5 which was very crowded. being 6.30 in the morning i decided against having a drink and stuck to the breakfast offering. the cooked options did not look that appealing but the fresh fruit selection was very enjoyable. we subsequently discovered a much nicer ba lounge closer to the gate, b36, and waited there for 40 mins. boarding was efficient and we got ourselves seated in 2a and 2c, seat 2b was blocked out, which acted as an additional table. there did not seem to be any difference in the width of the seat from the cramped seating in economy but there may have been an additional inch of leg room. i think that ba are trying to outdo easyjet in terms on no frills. it would not cost ba that much to supply business class passengers with a complimentary newspaper to read during the flight. the inflight magazine is no longer available. there are no screens so there was zero in terms of in flight entertainment. the inflight wifi was flaky at best and non-existent at other times. i was glad it was only a two hour flight. i really do not think the fare that we paid was worth the money",Solo Leisure,Business Class,Heathrow to Faro,2023-05-01,no,Boeing 787-9
"""Avoid this airline""",1,S Dasirou,2023-05-06,terrible. avoid this airline. it’s now becoming regular practice to cancel flights. had a cancellation from switzerland that forced us to spend the whole night in a cheap hotel and had to fly out the next day and then had another cancellation to spain. the airline only knows how to ask for expensive prices.,Couple Leisure,Economy Class,Copenhagen to London,2023-04-01,no,A350
"""trained to give you the runaround""",1,T Cayle,2023-04-17,worst experience of my life trying to deal with the customer service for british airways. so many issues with getting from one destination to the other. had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. i wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. needless to say these will go to waste as i refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. it was equivalent to handing me a band aid after slapping me in the face. i will say the flight itself was smooth and the onboard staff was kind and attentive. the most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.,Couple Leisure,Business Class,London to Atlanta,2023-04-01,no,Boeing 777
"""cover 50% of my new luggage""",1,Colean Wright,2023-04-09,"after several delays and canceled flights, we finally made it to copenhagen on american airlines and british airways flights. my luggage was destroyed, wheels torn off. i had to buy new luggage in denmark. i made a claim with british airways to reimburse me but because i didn’t have the receipt for my old luggage, they would only cover 50% of my new luggage. advice, have receipts for your old luggage prior to flying so you don’t get ripped off like i did.",Couple Leisure,Economy Class,London to Lanzarote,2023-03-01,no,A321
"""changed our prepaid seats""",1,Derek McLeod,2023-03-26,"not verified |  ba changed our prepaid seats at the last minute and charged us to select new seats. flight took off late, cabin crew served a tiny packet of pretzels. arrived at heathrow late, put on a remote stand, loaded onto buses to terminal. held up at transit security by a clown of a member of staff, allowed 15 passengers at a time because of a trial. queued at security for 20 minutes.",Couple Leisure,Economy Class,Amsterdam to London,2023-03-01,no,A380
"""A catalogue of failures""",1,G May,2023-03-16,"a catalogue of failures. we flew from belfast to heathrow a week ago and the flight was delayed by over three and a half hours. we missed our onward air canada flight to calgary as a result. on arriving in calgary (after re-routing via vancouver which added over 6 hours to our journey) we met other passengers who had also missed the same air canada flight as their british airways flight from manchester had also been delayed by several hours. we are now on our way home only to find our heathrow to belfast flight, which had already been cancelled and put back 2 hours, is now delayed by another 2 hours. avoid british airways like the plague.",Family Leisure,Economy Class,Prague to London,2022-12-01,no,A320
"""I detest British Airways""",1,Robert Davis,2023-03-10,"as usual the flight is delayed this week, it already 3 hours and i’m held on a bus waiting to get taken to the plane. i really can’t explain how much i detest british airways. if it was a cheap budget airline i could accept it, but it’s premium prices for the most unreliable service.",Business,Business Class,London to Dubai,2023-02-01,yes,A380
"""FA's were very friendly""",7,M Camere,2023-02-27,"boarding on time and departure on time for a flight to london heathrow that is very ok, the a320 with rather narrow seats. in business light meal a caesars salad, a mousse as sweet and choice of drinks - nothing wrong for such a short flight. fa's were very friendly and landing on time.",Solo Leisure,Economy Class,Palma to Gatwick,2023-01-01,yes,A320
"""so determined to help""",10,Maria del Carmen Riesco Martin,2023-02-04,"my husband and myself were flying to madrid on the 3rd of february for a legal matter and we had to be in madrid by 13:00 pm. we had booked our flight and car with ba holidays. unfortunately we chose a parking we had never used before, we got lost, and missed our 6:00 am flight to madrid. i tried to stay calm, cold head and we went to british airways to get help. the first lady that we spoke to asked if we had done the booking with ba holidays, we didn't know that, she gave us a number to call and told us that she couldn't do anything else, that we had to call that number. we called the number, which was asking us to call another  number, which we did and there the message was that opening hours were from 8 am till 4 pm, we went back to the lady and explained that we couldn't wait until 8 am, but she told us that she could not do anything. i did reach out to another staff , a lovely young lady called althea. she started to look at it, made several calls, went to check with someone else to an office, she managed to get someone to send me a text message that i had to call, and that got answered and the other lovely lady on the line, modified our booking to place us in the following flight at 7.30 am. they didn't charge us for that, our car reservation and flight back were maintained and we made it to madrid. without the support of the lovely althea, her professionalism, her care for us, we would not have make it. she was so sweet, so caring, but at the same time so determined to help, she for sure went above and beyond her role and her responsibilities.",Couple Leisure,Economy Class,Johannesburg to Los Angeles via London,2023-01-01,no,Boeing 777-300ER
