title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
"""flight itself was quite good""",9,Jonathan Rodden,10th June 2024,"✅ Trip Verified |  Flew British Airways on BA 434 London Heathrow to Amsterdam. I was able to check in at the BA First Class check in area in Terminal 5 and this is very fast and efficient. The lounge was quite busy; however, I was able to find space. The food, snacks, and drinks available was excellent as was the overall service. I also like the BA First Class Check in area as the security clearance is fast. Boarding was a little chaotic, however we boarded on time and the take off runway was close to the departing gate, therefore no delays. The flight itself was quite good as was the cabin crew and the meal service.",Solo Leisure,Economy Class,London Heathrow to Singapore,May 2024,no,A380
“premium price for a sub-par product”,3,L Tomlinson,26th May 2024,"✅ Trip Verified |  A premium price for a sub-par product - flew BA (031/032) LHR and HKG and return in May. We had originally booked when the aircraft was allocated the club suites - paid for seat selection. A couple of months prior to the trip, the aircraft was changed to the 2/3/2 layout with the yin/yang seat configuration. We had been allocated 2 of the 3 middle seats, so paid again to select the window and aisle. The hard product is poor - the seat space lacks any form of storage that remains accessible when the seat is in the flat position - nowhere to put specs, a book or phone. Additionally, the window seat passenger has to climb over the feet of another passenger to use the toilet etc - really poor layout. The planes on both legs of the journey were tired and shabby. The crew on the outward journey were enthusiastic and helpful - the return crew seemed less adept at managing the service. The outbound catering was acceptable - but the presentation on tiny plates does not compare favourably with competitors. The catering inbound was very poor. The welcome ‘champagne’ was truly awful. This is a poor product at a premium price - and sad to say, this pair of self-funding passengers won’t choose to repeat the experience. The lounge at Heathrow on the outbound sector was packed to the rafters and was a poor experience. Very disappointing.",Solo Leisure,Economy Class,London to Valencia,April 2024,no,A319 / A320
"""undiscerning and insincere compensation""",1,Ezra Tan,27th April 2024,"✅ Trip Verified |  Paid for a 14 hour long flight ticket which includes use of the in-flight entertainment system. Ended up in a seat where the in-flight entertainment system was malfunctioning and could not be used at all. Flight attendants sought to perform a ""service recovery"" through their customer relations team. Contacted by the said team slightly more than a week later with an offer of an eVoucher that can only be used in purchasing additional flight tickets with BA. Explained to them that I had no intentions of travelling again within the next two years so I had no use of an eVoucher and sought for an alternative form of compensation instead, something that could really be useful instead. Customer Relations simply brushed my request off as them unable to offer any alternate ""gesture of goodwill"".  Compensation in British Airways is a matter of ""goodwill"". Pay for a ticket but don't get what you paid for in full. Compensation is one that requires you to spend even more money on the airline (so that they can disappoint you further). An ultimately self-serving, inconsiderate, undiscerning and insincere compensation. Which in itself isn't even anything they feel guilty or remorseful about, because any compensation is a ""gesture of goodwill"", something you don't deserve in their view.",Couple Leisure,Business Class,Doha to London Heathrow,March 2024,no,Boeing 777-200
"""service was slow and unfriendly""",4,David Williams,2nd April 2024,"✅ Trip Verified |  Flew business class from Doha to London on 31st March. The service was slow and unfriendly, even one of the male cabin crew working in business class asked the female cabin crew who was looking after the area where I was in to smile. I ordered waffles for breakfast and they looked like they’d fallen off the plate and had been thrown back on (see photo). The plate that the waffles were served on was so hot that when I moved the plate I burnt my finger. I wasn’t warned that it was ferociously hot. I was shocked at how bad the food presentation was, but didn’t feel comfortable saying anything to the cabin crew as she wasn’t approachable or friendly. For lunch, the bread roll was so dry and rock hard that I couldn’t cut through the ends. Not sure why the food and service was so bad on this flight as generally BA food is good and is well presented. Also, the Wi-Fi wasn’t working on the flight.",Family Leisure,Economy Class,Montreal to Venice via London Heathrow,March 2024,yes,Boeing 787-8 /777-200 / A320-200
"""Utterly outrageous""",3,Solomon Pachtinger,19th March 2024,"✅ Trip Verified |  Waited an hour to check-in at the Paphos business check-in. Staff utterly incompetent. Flight crew in business class removed my ruck sack from the flight bins without my consent to make way for another customer luggage. I was then coerced to have my luggage at my feet throughout my flight. Utterly outrageous, last thing you would expect in BA business class.",Solo Leisure,Economy Class,Singapore to Auckland via Sydney,March 2024,no,Boeing 777-300
"""it was extremely underwhelming""",3,E Gayerlo,4th March 2024,"✅ Trip Verified |  On the my trip to Mexico City, I had the opportunity to experience BA long-haul business class for the first time and it was extremely underwhelming. First of all, boarding to our flight to Mexico city was done with buses. Every inch of the bus was filled with passengers and we couldn't even breath. The Club World experience is not personalised and it doesn't make you feel special. The flight crew were giving the welcome drinks as if giving free food at a food bank and I wasn't offered a non-alcoholic choice due to sitting on the last row of business class cabin. The same rude serving attitude happened when the flight attendant was serving ice-cream mid-flight on the way out. He literally threw the ice cream to my head as I was in the middle seat that is covered from all sides that makes flight attendants hard to reach.  The most striking issue with the cabin is the state that the seats are in. They were their old style yin-yang seats and they looked pretty old, with no storage space, and most functionalities are working with a struggle. My entertainment screen was not working well and it was quite unstable. When the flight attendants were playing the security on my way out, neither of the seats in my area playing the safety video and the flight attendants had to re-demonstrate the security instructions manually. On the way in, the crew opened my screen for security demonstration but it kept closing in. When I asked if there is a way to keep the screen open, the flight attendant joked saying ""I will tell the pilot to fly with an angle so that the screen is pulled down and it will stay open"".  I found this attitude unacceptable. The screens were old and bad quality.  I was quite underwhelmed by the food provided on board. They looked great on menu card but were quite bad when they are served.I would not recommend BA business class product based on this experience.",Solo Leisure,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",January 2024,no,Boeing 777
"""all needs a serious rework""",5,S Jackson,11th February 2024,"✅ Trip Verified | I am a British Airways Gold Guest List member (with Lifetime privileges). In spite of that I have given up Britsh wherever possible. I take ten or more trans ocean trips a year. I am fortunate to be able to fly First Class - unfortunately British no longer has a First Class product - the sell one by that name at First Class prices but in fairness deliver what you would consider a very good Business Class experience. I should point out that there are airlines who sell Business Class that in fact are better than any British First Class experience (Qatar, Emirates). I have flown many millions of miles on British. Last week I completed an around the world trip on Emirates and Qantas all A380. In the millions of BA miles I never had an experience as good as what I experience on EK and Qantas. A very long time ago the food and beverage service on BA was truly extraordinary - today it would be a bit of a stretch to even call it ordinary - so sad a decline. Seat comfort (in First), lounges food, beverage all need serious rework. If you are a First Class traveler British is just not an option. Sad, truly sad.",Solo Leisure,Economy Class,Boston to Düsseldorf via London,January 2024,no,Boeing 777-200
"""unprofessional attitude of the pilots""",6,D Carreno,21st January 2024,"✅ Trip Verified |  BA 246 21JAN 2023 Did not appreciate the unprofessional attitude of the pilots. Flight scheduled departure 16:20. Advised boarding time 15:20. Whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a Sao Paulo Airport Duty Free branded shopping bag. 16:20 the flight is still boarding. Finally pushes back just before 17:00, 40 minutes late. Captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. Sorry Captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for.",Couple Leisure,Business Class,London to New York,November 2023,yes,Boeing 777 -200
"""Gate agent was extremely rude""",6,K Higgins,3rd January 2024,"Not Verified |  Extremely rude ground service. We were non-rev flying and London was our connection/layover. Gate agent was extremely rude and forced me to check my carry on suitcase with the explanation that it was “oversized.” However, when I put it in the sizer, it fit perfectly without force. The plane was not fully booked and had lots of room overhead. The gate agent was insistent and rushed us with no regard for the fact that we would have to redo security in order to get our bags again, as we were switching airlines and needed to carry them on due to our non-rev status. The flight itself was good, attendants were polite and helpful. No complains there. Just extremely unhappy with the gate agent service. I understand that it is not a pleasant job and frankly I would not be overjoyed to work there either but that does not explain why we had to be inconvenienced with no fair explanation or attention.",Solo Leisure,Economy Class,Indianapolis to Mumbai via London Heathrow,December 2023,no,A329
“The most ridiculous thing I've heard”,1,C Shaw,20th December 2023,"Not Verified |  Beware! BA don't provide any refund due to a very serious medical reason. My father was diagnosed with a severe heart defect a couple of weeks before his flight date and BA refused to give any refund as this was not a good enough reason!! We sent them a medical note from his doctor saying he is unfit to travel due to potential heart failure and needs to have heart surgery as soon as possible, and the operator totally dismissed it. They said only thing they can do is change the travel date within a year. Heart surgery recovery takes months and it's highly unlikely that he will be able to travel within the year, meaning he would lose his ticket and money! They said they can't do anything to help, not even change the name on the ticket so someone else can use the tickets! The most ridiculous thing I've heard!",Solo Leisure,Business Class,Gatwick to Las Palmas,December 2023,yes,A320
"""onboard service was efficient""",10,S Deyle,9th December 2023,✅ Trip Verified |  The flight took off a little late due to Heathrow congestion but still landed on schedule. Boarding was smooth and the onboard service was efficient. A small snack was served for free with a bottle of water; additional items were available for purchase. The cabin and toilets were very clean. Overall an unremarkable flight but in a good way!,Business,Economy Class,Brussels to London,November 2023,no,A320
"""Flight was smooth and quick""",8,M A Collie,16th November 2023,"Not Verified |  Boarded on time, but it took ages to get to the runway due to congestion. Flight was smooth and quick. Snack and drinks were good for a short flight. Landed only about ten minutes late. One bag of three left in London, forms quickly filled in, and the bag was delivered the next morning.",Couple Leisure,Economy Class,Anchorage to Heathrow via Barcelona,October 2023,no,A320
"""reflect a downward trend of the airline""",6,C Barton,28th October 2023,"✅ Trip Verified |  London Heathrow to Gibraltar on 24th October 2023. I shall start by reference to the booking process. I used the BA website to reserve the seat and food the website to be easy to use and clear in every aspect. The flight was due to depart from terminal 3 but the passengers were bussed for a good 15 minutes to a different part of the airport where the aircraft was on a stand. When boarding the flight the cabin-crew kept a very low profile and this was maintained during the entire flight. The captain made 3 brief announcements during the flight. There was no in-flight entertainment. The seats were clean and comfortable enough for a short flight. The lack of catering was overt. Other than a tiny bottle of water and an inedible “breakfast bar” one had to use an online system to order even a drink and of course pay for it too. The passengers next to me could not use the online system as it doe not seem to work and the cabin refused to sell them a coffee because of this fault. Moreover, the USB charge points did not work either. Given the early hour of the flight it is a poor show that there are not even for sale items available from a trolley service. The system BA have in place is not good enough. The flight arrived on-time. The disembarkation was inefficient though and poorly managed and the crew were not to be seen. The crew were wearing the new BA uniform and it seems to reflect a downward trend of the airline. To be candid, there was any difference between this BA service and that of so-called “budget” rivals. On this route BA have a monopoly and so I did not have an option to use the services of a different company.",Solo Leisure,Economy Class,Geneva to London Heathrow,October 2023,no,A320
“I hate British Airways!”,1,S Carter,17th October 2023,"✅ Trip Verified |   I hate British Airways! We get to London on Oct 3 and our next flight is cancelled. We stand in line with 1200 other people to get it fixed and they tell everyone to leave the airport and call them to fix. They book us the next day..via online. Don't offer vouchers for hotel, we will miss our tour. Now trying to get home from Istanbul. Plane is here but should have started loading an hour ago. No explanations. May miss next flight. Will never travel with them again. Was this same problem April 2022 flight.",Couple Leisure,Economy Class,Atlanta to Glasgow via London,September 2023,no,A321
"""The worst airline I have ever flown""",1,T Hanson,7th October 2023,"✅ Trip Verified |   The worst airline I have ever flown with. Allocated the very back row next to the toilets and galley. No chance of getting any sleep, question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology. Would have been better sitting in the luggage compartment.",Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,September 2023,no,777-300 and A320
"""the service was shockingly bad""",1,E Anderson,28th September 2023,"✅ Trip Verified | One of the worst experiences on the worst airline. The flight was delayed due to earlier technical issues. The time slipped from 17:00 to 20:00 to 22:00 and finally cancelled. There was zero information given. Despite paying well over the odds for business class, we were booted out of the BA lounge two hours before the flight. When it was finally cancelled, the BA staff. Without explanation, told everyone to go to a gate. After another hour or so they made us re enter the UK via passport control, a further 40 minute wait. By now the airport was closing and there was no sign of our bags or any help from BA. A passing Gatwick engineer finally helped us locate the bags. BA completely washed their hands of us and in contravention of CAA rules refused to find us accommodation. Many slept in a bus stop overnight. There were people with young children who couldn’t find somewhere to stay and yet BA had closed down and left. The following day the replacement flight was also late and due to an admin mistake had no catering or liquids for a 2 1/2 hr flight. Overall the service was shockingly bad, the worst I have experienced from any airline. I will not ever use them again.",Couple Leisure,Economy Class,London to Dalaman,September 2023,no,A320
"""Worst BA experience""",2,S Sharpe,15th September 2023,"✅ Trip Verified | Worst BA experience. I was supposed to fly out to Italy on 7 September 2023. I arrived at OR Tambo International airport ready to check my bags in (I already checked-in online the previous evening so I had my boarding pass ready). At the counter I was told that I had been off-loaded from the flight as my connecting flight has been cancelled. No information was sent regarding this beforehand. The team at the check-in counter tried to get me on another flight that evening, but there were no flights available. They did manage to get me another flight the following evening with Lufthansa to Italy via Frankfurt. However, I did miss the first part of my trip having arrived a day and a half later than I was supposed to. Upon moving the flights I did ask the BA staff whether my flights back are still valid and that everything is in order, which they assured me is correct. I have to fly back to South Africa on 18 September and upon checking my booking information I noticed on my BA account that my first flight (Milan to London) is just missing from my booking. My connecting from London to Johannesburg is still there. After spending the entire morning on the customer helpline two different operators picked up and in both instances, the moment I proceed to give my booking reference number, my call gets dropped. Currently it seems like I will be arriving at the airport again on Monday without a flight.",Business,Premium Economy,Houston to London Heathrow,September 2023,no,Boeing 777-200
"""avoid BA like the plague""",1,R H,2nd September 2023,✅ Trip Verified |  Flying A380 business class should be a pleasure but BA has made it a disaster with the worst seating and configuration imaginable. How could any sane person could jam so many seats into a limited space and expect passengers to be happy. Seats are narrower than economy on some airlines and you must face another person until a plastic screen is raised. The Tv screens are the size of a medium sized tablet and the controls are behind your head in a sitting position. There is no where to put anything except one small pull out draw at ground level that can not be reached when seated nor accessed when sleeping . The window seats and middle seats are accessed by having to jump over a passenger on an aisle seat and the seats are so low that they are hard for elderly to get out of. The whole business class set up is a sick joke. Eating is difficult because the seat is not close enough to the table and the tables are so flimsy that drinks can fall off. Are there any redeeming features - the answer is no. If you like a little comfort avoid BA like the plague.,Business,Business Class,London to Johannesburg,August 2023,no,A320
"""Nice flight, good crew, very good seat""",8,W Davies,26th August 2023,"✅ Trip Verified | Nice flight, good crew, very good seat, food was what you would expect. The aircraft had the new style Business Class seats/suite the actual plane as not new in any since of the word. There were parts of the seat that were broken or missing however the seat still sat well and worked. Seat was also long enough to really lay out and get some sleep. The video system worked great and had plenty of content. The headphones however were cheap and didn't feel or work particular good. The layout on this 773 had a lot of business class seats, a lot! We sat in the forward cabin (enter aircraft turn left) and that cabin is the quieter part of the aircraft. The crew was very nice and were there the entire time for any needs or wants we might have had. One draw back to the seats is as we were traveling as a couple the middle divider didn't open enough to really feel like you and your mate are traveling together. LHR is what it is, crowded and expansive but we had a good lounge visit and were completely on time for all flights.",Solo Leisure,Economy Class,London to Vienna,August 2023,no,Embraer-190
"""They lost my baggage""",1,G Maysev,8th August 2023,"✅ Trip Verified |  They lost my baggage in a very simple situation. It's been three weeks and they don't care, no communication whatsoever. I was at the connection checkpoint at Heathrow 3hrs before my connecting flight, the last leg of my trip. An agent insists on checking in my hand luggage since my plane is full. And then they lose it. I claim it at the arrival airport immediately. Now it's been three weeks, no communication whatsoever, the online status is still “Searching for your bag” with no updates. My conclusion is that the BA males no effort to find my missing bag and they don't care.",Family Leisure,Economy Class,Rhodes to Gatwick,July 2023,no,A321
"""All in all, terrible""",1,G Nelson,25th July 2023,"✅ Trip Verified | I chose British Airways especially because I was going to travel with my niece and nephew, and wanted everything to work well. What a disaster! First, it took me two hours to do the check-in online due to a technical problem. I also had to spend more than 20 minutes in a call to a UK number from my Spanish cell phone because that’s the only service they provide on weekends. Then, at the airport, when there was the boarding time, we had to wait with the rest of the people for almost two hours standing on the line without knowing what was going on. They just told us to wait. Finally we could access the plane. After 40 minutes inside, they told us to leave the plane again and told us the flight had been cancelled. We had to take our luggage and queue again for a couple of hours. Then, do the check in again and wait for another flight to take off, which was again delayed! We spent almost 12 hours at the airport. No information was provided, no solutions were offered. We had to seat in the last raw (when I had paid to seat on the first half of the plane). No money was refunded no apologizes or compensation was given. I also had pre-purchased food and they couldn’t provide the service. All in all, terrible. Never again!",Solo Leisure,Business Class,London to Miami,June 2023,no,A380
"""5 hours and 30 mins but no meal""",2,K Robson,16th July 2023,Not Verified | Horrible airline. Does not care about their customers. Used to be decent but has now since really fell off. A flight time of 5 hours and 30 mins but no meal while the flight attendants were having their eggs and sausage in the back? Didn't even offer juices. I would stick with another airline.,Solo Leisure,Economy Class,Berlin to London,July 2023,yes,A320
"""Luggage are still in Glasgow""",1,Kapil Tyagi,30th June 2023,✅ Trip Verified |  Came from Glasgow to London and took connecting flight American Airlines from London to North Carolina. It's my third day here in North Carolina and still waiting for my luggage. They didn't even bother to transfer the luggage to connecting flight. Luggage are still in Glasgow.,Family Leisure,Business Class,London City to Ibiza,June 2023,yes,Embraer 190
"""Communication is terrible""",1,M King,23rd June 2023,"✅ Trip Verified | Absolutely horrible airline. Communication is terrible. Last minute delays, cancellations, seat changes with no communication. App and website user experience is years behind other airlines. Seats are cramped and uncomfortable. Overpriced. Would not fly again.",Business,Business Class,Tokyo to Manchester via Heathrow,June 2023,no,Boeing 737
"""never fly British Airway ever again""",1,George W Edmonds,11th June 2023,✅ Trip Verified |  The customer service is ugly. Tried calling two weeks ago but still had problems with flight. All I get is someone in India. I thought i was flying Iberia once I looked close at ticket it was British Airways. Will never fly British Airway ever again.,Couple Leisure,Economy Class,London to Santorini,May 2023,no,A350
"""haven’t received any reimbursement""",2,Tanya Tracy,2nd June 2023,✅ Trip Verified |  Terrible delays. Had to rebook our domestic travel for 5 passengers and haven’t received any reimbursement on the same. Lost all my luggage; received luggage after 4 days. Had to purchase new clothes for the family for a wedding. No customer service rep picks up the phone.,Business,Business Class,London Heathrow to Malaga,May 2023,no,A320 Finnair
"""do not think the fare was worth the money""",4,Steve Bennett,22nd May 2023,"Not Verified | Paid a quick visit to Nice yesterday from Heathrow. Decided to go Business class since my last short haul flight in Economy was a real crush and rather unpleasant. I paid over £300 for a business class round trip. I went into the to BA lounge in Terminal 5 which was very crowded. Being 6.30 in the morning I decided against having a drink and stuck to the breakfast offering. The cooked options did not look that appealing but the fresh fruit selection was very enjoyable. We subsequently discovered a much nicer BA lounge closer to the gate, B36, and waited there for 40 mins. Boarding was efficient and we got ourselves seated in 2A and 2C, seat 2B was blocked out, which acted as an additional table. There did not seem to be any difference in the width of the seat from the cramped seating in Economy but there may have been an additional inch of leg room. I think that BA are trying to outdo EasyJet in terms on no frills. It would not cost BA that much to supply Business class passengers with a complimentary newspaper to read during the flight. The inflight magazine is no longer available. There are no screens so there was zero in terms of in flight entertainment. The inflight WiFi was flaky at best and non-existent at other times. I was glad it was only a two hour flight. I really do not think the fare that we paid was worth the money",Solo Leisure,Business Class,Heathrow to Faro,May 2023,no,Boeing 787-9
"""Avoid this airline""",1,S Dasirou,6th May 2023,✅ Trip Verified |  Terrible. Avoid this airline. It’s now becoming regular practice to cancel flights. Had a cancellation from Switzerland that forced us to spend the whole night in a cheap hotel and had to fly out the next day and then had another cancellation to Spain. The airline only knows how to ask for expensive prices.,Couple Leisure,Economy Class,Copenhagen to London,April 2023,no,A350
"""trained to give you the runaround""",1,T Cayle,17th April 2023,✅ Trip Verified |  Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.,Couple Leisure,Business Class,London to Atlanta,April 2023,no,Boeing 777
"""cover 50% of my new luggage""",1,Colean Wright,9th April 2023,"✅ Trip Verified |  After several delays and canceled flights, we finally made it to Copenhagen on American Airlines and British Airways flights. My luggage was destroyed, wheels torn off. I had to buy new luggage in Denmark. I made a claim with British Airways to reimburse me but because I didn’t have the receipt for my old luggage, they would only cover 50% of my new luggage. Advice, have receipts for your old luggage prior to flying so you don’t get ripped off like I did.",Couple Leisure,Economy Class,London to Lanzarote,March 2023,no,A321
"""changed our prepaid seats""",1,Derek McLeod,26th March 2023,"Not Verified |  BA changed our prepaid seats at the last minute and charged us to select new seats. Flight took off late, cabin crew served a tiny packet of pretzels. Arrived at Heathrow late, put on a remote stand, loaded onto buses to terminal. Held up at transit security by a clown of a member of staff, allowed 15 passengers at a time because of a trial. Queued at security for 20 minutes.",Couple Leisure,Economy Class,Amsterdam to London,March 2023,no,A380
"""A catalogue of failures""",1,G May,16th March 2023,"✅ Trip Verified |  A catalogue of failures. We flew from Belfast to Heathrow a week ago and the flight was delayed by over three and a half hours. We missed our onward Air Canada flight to Calgary as a result. On arriving in Calgary (after re-routing via Vancouver which added over 6 hours to our journey) we met other passengers who had also missed the same Air Canada flight as their British Airways flight from Manchester had also been delayed by several hours. We are now on our way home only to find our Heathrow to Belfast flight, which had already been cancelled and put back 2 hours, is now delayed by another 2 hours. Avoid British Airways like the plague.",Family Leisure,Economy Class,Prague to London,December 2022,no,A320
"""I detest British Airways""",1,Robert Davis,10th March 2023,"✅ Trip Verified |  As usual the flight is delayed this week, it already 3 hours and I’m held on a bus waiting to get taken to the plane. I really can’t explain how much I detest British Airways. If it was a cheap budget airline I could accept it, but it’s premium prices for the most unreliable service.",Business,Business Class,London to Dubai,February 2023,yes,A380
"""FA's were very friendly""",7,M Camere,27th February 2023,"✅ Trip Verified | Boarding on time and departure on time for a flight to London Heathrow that is very ok, the A320 with rather narrow seats. In business light meal a Caesars salad, a mousse as sweet and choice of drinks - nothing wrong for such a short flight. FA's were very friendly and landing on time.",Solo Leisure,Economy Class,Palma to Gatwick,January 2023,yes,A320
